DAS Channel,Lat [decimal],Lon [decimal],Elevation [m],OD [m]
247,61.306851,-45.732689,-45.0,1182.14
248,61.306835,-45.732754,-45.6,1186.93
249,61.306819,-45.732819,-46.3,1191.71
250,61.306803,-45.732885,-46.9,1196.5
251,61.306787,-45.73295,-47.5,1201.29
252,61.306771,-45.733015,-48.1,1206.07
253,61.306755,-45.73308,-48.8,1210.86
254,61.306739,-45.733145,-49.4,1215.64
255,61.306722,-45.733215,-50.0,1220.43
256,61.306689,-45.733337,-50.6,1225.22
257,61.306656,-45.733459,-51.1,1230.0
258,61.306624,-45.73358,-51.7,1234.79
259,61.306591,-45.733702,-52.2,1239.57
260,61.306554,-45.733819,-54.1,1244.36
261,61.306517,-45.733934,-56.1,1249.15
262,61.30648,-45.73405,-58.1,1253.93
263,61.306441,-45.734164,-60.1,1258.72
264,61.306401,-45.734276,-62.0,1263.5
265,61.306362,-45.734388,-63.9,1268.29
266,61.306322,-45.734501,-65.8,1273.08
267,61.306285,-45.734617,-66.4,1277.86
268,61.30625,-45.734736,-66.3,1282.65
269,61.306215,-45.734855,-66.1,1287.43
270,61.30618,-45.734973,-65.9,1292.22
271,61.306153,-45.735074,-66.1,1297.01
272,61.306138,-45.735149,-66.8,1301.79
273,61.306123,-45.735224,-67.5,1306.58
274,61.306107,-45.735299,-68.1,1311.36
275,61.306092,-45.735374,-68.8,1316.15
276,61.306076,-45.735449,-69.5,1320.94
277,61.306061,-45.735524,-70.1,1325.72
278,61.306046,-45.735599,-70.8,1330.51
279,61.306028,-45.735672,-70.9,1335.29
280,61.306011,-45.735746,-71.0,1340.08
281,61.305994,-45.735819,-71.0,1344.87
282,61.305976,-45.735892,-71.1,1349.65
283,61.305959,-45.735965,-71.2,1354.44
284,61.305942,-45.736038,-71.2,1359.22
285,61.305923,-45.73611,-71.7,1364.01
286,61.305903,-45.73618,-72.5,1368.8
287,61.305883,-45.73625,-73.4,1373.58
288,61.305862,-45.73632,-74.3,1378.37
289,61.305842,-45.73639,-75.2,1383.15
290,61.305822,-45.73646,-76.1,1387.94
291,61.305803,-45.73653,-77.0,1392.73
292,61.305783,-45.736601,-77.9,1397.51
293,61.305763,-45.736672,-78.9,1402.3
294,61.305744,-45.736742,-79.8,1407.08
295,61.305724,-45.736813,-80.8,1411.87
296,61.305704,-45.736884,-81.7,1416.66
297,61.305685,-45.736954,-82.7,1421.44
298,61.305673,-45.736996,-82.9,1426.23
299,61.305663,-45.737033,-83.1,1431.01
300,61.305652,-45.737071,-83.2,1435.8
301,61.305642,-45.737108,-83.4,1440.59
302,61.305631,-45.737146,-83.6,1445.37
303,61.305621,-45.737183,-83.7,1450.16
304,61.30561,-45.737221,-83.9,1454.94
305,61.3056,-45.737258,-84.1,1459.73
306,61.305589,-45.737296,-84.2,1464.52
307,61.305579,-45.737333,-84.4,1469.3
308,61.305568,-45.737371,-84.6,1474.09
309,61.305558,-45.737408,-84.7,1478.87
310,61.305547,-45.737446,-84.9,1483.66
311,61.305538,-45.737484,-85.2,1488.45
312,61.305529,-45.737523,-85.6,1493.23
313,61.305519,-45.737562,-86.0,1498.02
314,61.30551,-45.737601,-86.4,1502.8
315,61.305501,-45.73764,-86.8,1507.59
316,61.305492,-45.737679,-87.2,1512.38
317,61.305482,-45.737718,-87.6,1517.16
318,61.305467,-45.737783,-89.1,1521.95
319,61.305441,-45.737888,-92.4,1526.73
320,61.305416,-45.737993,-95.7,1531.52
321,61.30539,-45.738098,-98.9,1536.31
322,61.305365,-45.738202,-102.2,1541.09
323,61.305339,-45.738307,-105.6,1545.88
324,61.305314,-45.738411,-109.2,1550.66
325,61.305288,-45.738516,-112.8,1555.45
326,61.305262,-45.73862,-115.8,1560.24
327,61.305237,-45.738725,-117.8,1565.02
328,61.305212,-45.73883,-119.7,1569.81
329,61.305187,-45.738935,-120.1,1574.59
330,61.305162,-45.739041,-118.9,1579.38
331,61.305138,-45.739146,-117.7,1584.17
332,61.305113,-45.739252,-116.5,1588.95
333,61.305089,-45.739357,-115.3,1593.74
334,61.305065,-45.739464,-114.8,1598.52
335,61.305042,-45.739571,-115.8,1603.31
336,61.30502,-45.739679,-116.8,1608.1
337,61.304998,-45.739787,-117.8,1612.88
338,61.304975,-45.739894,-118.8,1617.67
339,61.304953,-45.740002,-119.8,1622.45
340,61.304933,-45.740099,-120.8,1627.24
341,61.304916,-45.740185,-121.8,1632.03
342,61.304899,-45.740271,-122.8,1636.81
343,61.304883,-45.740357,-123.7,1641.6
344,61.304866,-45.740443,-124.7,1646.38
345,61.304849,-45.740528,-125.7,1651.17
346,61.304832,-45.740614,-126.6,1655.96
347,61.304815,-45.740699,-127.3,1660.74
348,61.304798,-45.740785,-127.9,1665.53
349,61.30478,-45.74087,-128.5,1670.31
350,61.304763,-45.740955,-129.1,1675.1
351,61.304746,-45.741041,-129.7,1679.89
352,61.304728,-45.741126,-130.4,1684.67
353,61.304711,-45.741211,-131.0,1689.46
354,61.304692,-45.741295,-131.8,1694.24
355,61.304674,-45.741379,-132.5,1699.03
356,61.304655,-45.741463,-133.3,1703.82
357,61.304636,-45.741547,-134.0,1708.6
358,61.304618,-45.741632,-134.8,1713.39
359,61.304599,-45.741715,-135.5,1718.17
360,61.304579,-45.741798,-136.1,1722.96
361,61.304559,-45.741881,-136.7,1727.75
362,61.30454,-45.741964,-137.3,1732.53
363,61.30452,-45.742047,-137.8,1737.32
364,61.3045,-45.74213,-138.4,1742.1
365,61.304485,-45.742201,-138.8,1746.89
366,61.304475,-45.742253,-139.0,1751.68
367,61.304466,-45.742305,-139.1,1756.46
368,61.304457,-45.742357,-139.3,1761.25
369,61.304447,-45.742409,-139.5,1766.03
370,61.304438,-45.742461,-139.6,1770.82
371,61.304429,-45.742513,-139.8,1775.61
372,61.304419,-45.742565,-139.9,1780.39
373,61.30441,-45.742617,-140.1,1785.18
374,61.304402,-45.74267,-140.1,1789.96
375,61.304394,-45.742724,-140.1,1794.75
376,61.304387,-45.742777,-140.1,1799.54
377,61.304379,-45.74283,-140.1,1804.32
378,61.304371,-45.742883,-140.1,1809.11
379,61.304363,-45.742936,-140.1,1813.89
380,61.304355,-45.742989,-140.2,1818.68
